id,id_gl,name,macroareas,iso,language,data_sources,included,1_form,1_source,1_pages,1_comment,1_example,1_example.source,1_example.page,1_morphosyntactic_type,1_morphosyntactic_type_detailed,1_meaning_under_negation,1_meaning_under_negation_comment,1_tam_restrictions,1_expectation_implicature,1_adjacent_meanings,1_adjacent_meanings_detailed,1_diachronic_sources,2_form,2_source,2_pages,2_comment,2_example,2_example.source,2_example.page,2_morphosyntactic_type,2_morphosyntactic_type_detailed,2_meaning_under_negation,2_meaning_under_negation_detailed,2_tam_restrictions,2_expectation_implicature,2_adjacent_meanings,2_diachronic_sources
7,pama1250,Pama-Nyungan (> Desert Nyungic),Australia,nbj,Ngarinman,grammar,yes,=rni,meakins2014,387-388,"""Attached to a coverb, =rni can also have the meaning of ‘still’""; glossed as only; ""Broadly speaking, =rni is an expectation modifying clitic""; lexicalized with some nouns (e.g. ‘early in the morning’); apparently, another particle jubu 'only, just' has the same polysemy, cf. ex. 1032 (p. 356); see also borrowing (?) 'yet' in ex. 35 (p. 471)",ngarinman.png,meakins2014,387,particle,clitic,,,,,"only, just, until, while",see section 8.3.1.1 =rni ONLY,,,,,,,,,,,,,,,,
7,pama1250,Pama-Nyungan (> Yarli-Baagandji),Australia,drl,Paakantyi,grammar,yes,-ŋana,hercus1982,194-195,"not sure; in all example is ambigous with ""all the time"" or progressive",paakantyi.png,hercus1982,195,affix,aspectual suffix,,,,,"all the time, progressive (?)",p. 195,,,,,,,,,,,,,,,,
7,pama1250,Pama-Nyungan (> Southeastern Pama-Nyungan),Australia,wyb,Ngiyambaa,grammar,no,guwayu-bu,donaldson1977,93,"""guwayu-bu can be translated 'all the time' in a sentence in which the verb is in the past tense, 'still' when the verb is in the present tense (T3,7), and 'for ever' when it is irrealis""",ngiyambaa.png,donaldson1977,354,adverb,adverb,,,,,,,long_time-UNIV (universal quantifier),,,,,,,,,,,,,,,
7,pama1250,Pama-Nyungan (> South-West Pama-Nyungan),Australia,vma,Martuthunira,grammar,yes,waruu / waruul,dench1995,130-131,"waruu-l = still-THEN; ""The nominal waruul 'still', indicates the persistence of a state or the continuation of a series of actions (examples (5.94), (5.95)). It also occurs as part of the apparently derived verb wanuulwa-L 'to continue to be unable to do' (5.96).""; see also adverb parilha (and the lexical verb parilha 'keep on doing/trying')",martuthunira.png,dench1995,130,adverb,nominal,still not,"ex. 6.54 (p. 155), 8.49",,,some discource function (?),ex. 10 (p. 267),,parilha,dench1995,375,see also lexical verb,martuthunira2.png,dench1995,283,adverb2,adverb,,,,,,
55,gunw1250,Gunwinyguan,Australia,gup,Bininj Kun-Wok,grammar,yes,djal-,evans2003,515-522,"main meaning is only, but historically first meaning is continuative; see also Evans 1995 (A-quantifiers and scope in Mayali)",bininj-kun-wok.png,evans2003,518,affix,prefix,,,,,"only, keep doing until, all the time, only (NP)",see section 11.3.5.2,,,,,,,,,,,,,,,,
61,west2434,Western Daly,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,nyul1248,Nyulnyulan,Australia,bcj,Bardi,grammar,yes,"gardi (garda, gardo, gardoo ?)",bowern2012,,"counterexpectation seems to be obligatory (""adverb garda, which means ‘still’ in the sense of ‘X still did something (even though I told him not to)’""",bardi.png,bowern2012,651,adverb,adverb,,,,,"until, after, yet another","section 16.3.1 ('until'), ex. 5.168 ('after'), ex. 12 (p. 741) ('yet another')",,,,,,,,,,,,,,,,
71,worr1236,Worrorran,Australia,wro,Worrorra,grammar,yes,wali,clendon2014,237-238,"glossed as PERF or PROG or RESUM or PM; ""Used in combination with verbs, wali signals perfect aspect unambiguously: although an action may be completed, its effects are still felt in, or are still important to the present""; see also wali maa (still + prog) 'keep on'",worrorra.png,clendon2014,238,adverb,adverb,not yet,p. 240 (wali waa),"""frequently in verbless sentences""",,"perfect, wait, nevertheless",ex. 7.7c (nevertheless),,weni-nyine,clendon2014,268,no special description,worrorra2.png,clendon2014,268,adverb2,now-INST,,,,,,now-INST
112,mirn1241,Mirndi,Australia,wmb,Wambayan,grammar,yes,mirra,nordlinger1998,177-179,,wambayan.png,nordlinger1998,178,aux,aux,,,ascriptive verbless clause,,"sit, stay, be, become",,,=nima,nordlinger1998,205-207,,wambayan2.png,nordlinger1998,206,particle,clititc,,,,,"only, just",
112,mirn1241,Mirndi (> Yirram),Australia,djd,Jaminjung-Ngaliwurru,grammar,no,buyi,schultze2000,519,"continue V, keep on Ving; ""most commonly used with motion verbs, and are cross-listed as coverbs of direction""",jaminjung.png,schultze2000,194,aux,aux,,,only motion verbs,,,,,,,,,,,,,,,,,,,
