id_number,id_gl,name,macroareas,iso,language,source_type,included,1_form,1_source,1_pages,1_comment,1_example,1_example.source,1_example.page,1_morphosyntactic_type,1_morphosyntactic_type_detailed,1_meaning_under_negation,1_meaning_under_negation_comment,1_tam_restrictions,1_tam_restrictions_comment,1_adjacent_meanings,1_adjacent_meanings_comment,1_other_uses,1_diachronic_sources,2_form,2_source,2_pages,2_comment,2_example,2_example.source,2_example.page,2_morphosyntactic_type,2_morphosyntactic_type_detailed,2_meaning_under_negation,2_tam_restrictions,2_expectation_implicature,2_adjacent_meanings,2_other_uses,2_diachronic_sources,1_adjacent_meanings_and_other_uses
3,indo1319,Indo-European (> Italic),"Africa, Australia, Eurasia, North America, Papunesia, South America",spa,Spanish,"grammar, corpus, Bible, speaker",yes,"todavía, aún",butt2019,446,,spanish1.png,butt2019,446,adv/part,adv,not yet,,,,,,even,,"continuar, seguir",butt2019,457,"In parts of Latin America siempre ‘always’ can, like the French toujours, mean ‘still’",spanish2.png,butt2019,457,aux,aux,,,,,,,even
3,indo1320,Indo-European (> Indo-Iranian),"Africa, Australia, Eurasia, North America, Papunesia, South America",hin,Hindi,"grammar, Bible",yes,əbhī,kachru2006,162,"no special description, first meaning is now",hindi.png,kachru2006,162,adv/part,adv/part,not yet,"ex. 52, p. 272",,,,"now, for now",,now.emph,,,,,,,,,,,,,,,,
4,sino1245,Sino-Tibetan,Eurasia,cmn,Mandarin Chinese,"grammar, speaker",yes,hái,maross2017,88-89,,mandarin.png,maross2017,88,adv/part,adv,not yet,,,,,,also,,,,,,,,,,,,,,,,,also
10,taik1256,Tai-Kadai,Eurasia,tha,Thai,"grammar, Bible",yes,pay,iwasaki2005,157-159,,thai.png,iwasaki2005,158,aux,aux,,,,,,,,go,,,,,,,,,,,,,,,,
11,drav1251,Dravidian,Eurasia,tam,Tamil,"grammar, expert",yes,inrum,lehmann1993,304,,tamil.png,lehmann1993,304,adv/part,adv/part,,,,,,,,,,,,,,,,,,,,,,,,
19,ural1272,Uralic,Eurasia,fin,Finnish,"grammar, corpus, Bible",yes,vielä,karlsson1999,132,no special description,finnish.png,karlsson1999,132,adv/part,adv,,,,,,,,,,,,,,,,,,,,,,,,
24,turk1311,Turkic,Eurasia,tur,Turkish,"grammar, corpus, Bible",yes,daha,gökselkerslake2005,206,,turkish.png,gökselkerslake2005,206,adv/part,adv,not yet,,,,already,in the context ,"more, more than",derives compartive forms of adjectives,,,,,,,,,,,,,,,,already
26,hmon1336,Hmong-Mien,Eurasia,hnj,Hmong Njua,"grammar, Bible",yes,tseem,dejamorn2006,77,"no special description, sometimes glossed as progr",hmong.png,dejamorn2006,77,adv/part,adv/part,,,,,,,,,,,,,,,,,,,,,,,,
28,nakh1245,Nakh-Daghestanian,Eurasia,lez,Lezgian,"grammar, corpus, Bible",yes,-zma/-nma,haspelmath1993,145,,lezgian1.png,haspelmath1993,145,affix,affix,not anymore,,"imperfective, perfect (only resultative meaning)",,,,,stay (see also Maisak's paper on Andi),hele,haspelmath1993,210-211,"there are also particles helelig, gilani (gila 'now' plus -ni 'also, even') and mad",lezgian2.png,haspelmath1993,210,adv/part,adv/part,,,,,,,
43,mong1349,Mongolic-Khitan,Eurasia,khk,Halh Mongolian,"grammar, corpus, Bible, expert",yes,-sааr bаj-,kullmann1996,137-138,the particle l somehow contributes the meaning of still,mongolian.png,kullmann1996,138,aux,aux,,,,,something like English Perfect Progressive,,,simultaneous converb + copula,,,,,,,,,,,,,,,,something like English Perfect Progressive
45,japo1237,Japonic,"Eurasia, Papunesia",jpn,Japanese,"grammar, corpus, Bible",yes,mada,kaiseretal2013,10,no special decription,japanese.png,kaiseretal2013,10,adv/part,adv/part,,,,,,,,,,,,,,,,,,,,,,,,
53,tung1282,Tungusic,Eurasia,evn,Evenki,"grammar, small glossed corpus, expert",yes (!),hata,nedjalkov1997,132-133,,evenki.png,nedjalkov1997,133,adv/part,part,,,,,,,,,,,,,,,,,,,,,,,,
63,grea1241,Great Andamanese,"Eurasia, Papunesia",akj,Akajeru,,no,itthaxe,abbi2013,198,no special description,andamanese.png,abbi2013,198,adv/part,adv,,,,,,,,,,,,,,,,,,,,,,,,
82,chuk1271,Chukotko-Kamchatkan,Eurasia,ckt,Chukchi,"grammar, Bible, small glossed corpus, expert",yes,panena,dunn1999,372,,chukchi.png,dunn1999,372,adv/part,adv/part,,,,,,,,,,,,,,,,,,,,,,,,
95,kart1248,Kartvelian,Eurasia,kat,Georgian,"grammar, Bible, corpus",yes,-grj-,hewitt1995,596,"no special description; there is also a particle ""mainc"" meaning ""still = nevertheless""",georgian.png,hewitt1995,596,aux,aux,,,,,,,,,,,,,,,,,,,,,,,,
104,abkh1242,Abkhaz-Adyge,Eurasia,abq,Abaza,"grammar, Bible, small glossed corpus, expert, speaker",yes,-rḳʷ(a),klyaginapanova2019,9-10,,abaza.png,klyaginapanova2019,10,affix,affix,not used,,forbidden in Aorist and Retroaorist,,,,,be,,,,,,,,,,,,,,,,
121,yeni1252,Yeniseian,Eurasia,ket,Ket,"grammar, expert",no,hɨ,georg2007,147,no special description,ket.png,georg2007,147,adv/part,adv,not yet,,,,,,,,,,,,,,,,,,,,,,,
147,yuka1259,Yukaghir,Eurasia,yux,Southern Yukaghir,"grammar, glossed corpus",yes,aji:,maslova2003,367-369,"the meanings ""still"" and ""more"" can be distinguished by means of the linear position of the particle",yukaghir.png,maslova2003,369,adv/part,part,not yet,,,,,,"too, again, more",,,,,,,,,,,,,,,,,"too, again, more"
148,ainu1252,Ainu,Eurasia,ain,Hokkaido Ainu,"grammar, glossed corpus, expert",yes,naa,akulov2005,"119, 139",,ainu.png,akulov2005,119,adv/part,adv/part,,,,,already,,more,,,,,,,,,,,,,,,,,"alredy, more"
196,hurr1239,Hurro-Urartian,Eurasia,xhu,Hurrian,grammar,no,zugan,campbell2007,159,"no special description; It is unclear how zugan should be translated, but it almost certainly functions as an adverb in this context",hurrian.png,campbell2007,159,adv/part,adv,,,,,,,,,,,,,,,,,,,,,,,,
198,jara1244,Jarawa-Onge,Eurasia,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,kore1284,Koreanic,Eurasia,kor,Korean,"grammar, Bible, corpus",yes,acik,sohn1994,103,"no special description, see ex. 289, 166 for not yet",korean1.png,sohn1994,103,adv/part,adv,not yet,,,,,,,,-keli / -tay,sohn1994,332,these suffixes occur mostly with onomatopoetic roots,korean2.png,sohn1994,332,affix,affix,,,,,,,
213,nivk1234,Nivkh,Eurasia,niv,Nivkh,"grammar, expert",no,napa,nedjalkovotaina2013,157,"no special description, see ex. 937 for not yet",nivkh.png,nedjalkovotaina2013,157,adv/part,adv,not yet,,,,,,,,,,,,,,,,,,,,,,,
9,aust1305,Austroasiatic (> Khmeric),"Eurasia, Papunesia",khm,Central Khmer,grammar,yes,nev,haiman2011,262,"""be at, stay""",khmer.png,haiman2011,221,aux,auxiliary,,,,,,,,"""be at, stay""",,,,,,,,,,,,,,,,
2,aust1307,Austronesian (> Atayalic),"Africa, Eurasia, Papunesia, South America",tay,Atayal,grammar,yes,na,rau1992; gorbunova2014,159; 42-48,,atayal.png,rau1992,159,particle,particle,not yet,Rau 1992: 159,"progressive, resultative, unmarked",Gorbunova 2014: 47,"""only (so-and-so-much) up to now""",Rau 1992: 159,,,,,,,,,,,,,,,,,,
