id,id_gl,name,macroareas,iso,language,data_sources,included,1_form,1_source,1_pages,1_comment,1_example,1_example.source,1_example.page,1_morphosyntactic_type,1_morphosyntactic_type_detailed,1_meaning_under_negation,1_meaning_under_negation_comment,1_tam_restrictions,1_expectation_implicature,1_adjacent_meanings,1_other_uses,1_diachronic_sources,2_form,2_source,2_pages,2_comment,2_example,2_example.source,2_example.page,2_morphosyntactic_type,2_morphosyntactic_type_detailed,2_meaning_under_negation,2_tam_restrictions,2_expectation_implicature,2_adjacent_meanings,2_other_uses,2_diachronic_sources,1_adjacent_meanings_and_other_uses
8,otom1299,Otomanguean (> Eastern Otomanguean),North America,zai,Isthmus Zapotec,"grammar, Bible",yes,ru',pickettetal2001,80,in the dictionary a separate word,zapotec.png,pickettetal2001; pickett2007,80; 115,affix,la partícula,not yet,ca’ru’ - todavía no,,,,,,de yanna,pickett2007,"44, 97","todavía, hasta ahora (~ until now)",zapotec2.png,pickett2007,97,PP,not sure,,,,,,,
8,otom1300,Otomanguean (> Western Otomanguean),North America,otq,Querétaro Otomi,grammar,yes,to’be,palancar2009,363-364,there is also a borrowing todabia ‘todavía’ with different position properties,otomi.png,palancar2009,363,adverb,adverbios topicalizados.,not yet,see ex. 39b (p. 358),,,,,,,,,,,,,,,,,,,,,
15,utoa1244,Uto-Aztecan,North America,nci,Classical Nahuatl,grammar,yes,oc,launey2011; andrews2003,64-66; 41,"""The basic sense of oc is to signify that the action/process continues to be the same, undergoing no change or variation over the period of time in question."" (Launey 2011: 64)",nahuatl.png,andrews2003,76,particle,particle; adverbial modifier,no longer,aoc or aocmo ‘no longer’ (Launey 2011: 66),a.o. can be used in nominal clauses,,"now, in a meanwhile","during this time, while, more (in front of a number)",,,,,,,,,,,,,,,,,
20,algi1248,Algic,North America,moe,Montagnais,grammar,yes,eshku,oxford2007,187,,montagnais.png,oxford2007,209,adverb,the continuative aspect adverb,,,,,+ neg = before,,,,,,,,,,,,,,,,,,
21,atha1245,Athabaskan-Eyak-Tlingit (> Tlingit),North America,tli,Tlingit,grammar,yes,tsu,crippen2008,224-225,"there is also a similarly looking particle tsú 'also', 'as well', 'too' with different position properties",tlingit.png,crippen2008,225,particle,mobile particle,,,,,"more, again",,,,,,,,,,,,,,,,,,
21,atha1246,Athabaskan-Eyak-Tlingit (> Athabaskan),North America,nav,Navajo,grammar,yes,t'ah(dii),youngmorgan1987,13,see a glossed example with t'ahdii in Smith et al. 2007,navajo.png,youngmorgan1987,13,adverb,adverb,,,,,,,,,,,,,,,,,,,,,,,
29,maya1287,Mayan,North America,yua,Yucatec Maya,grammar,yes,láaili' ...-e',bohnemeyer2001,394-396,is not sensitive to interuptions but I don't like the example; works similarly to correlative constructions,maya.png,bohnemeyer2001,394,adverb,adverb + clause final particle expressing textual deixis,,,statives and verbs in progressive,,,,emphatic particle (~ just),sèegir,bohnemeyer2001,349-350,borrowing from Spanish,maya2.png,bohnemeyer2001,350,aux,phase verb,,,,,,,
34,sali1255,Salishan,North America,lut,Northern Lushootseed,grammar,yes,uʔxʷ,zahir2018,139-140,many examples throughout the [aper,lushootseed.png,zahir2018,140,particle,adverb often written as an enclitic,,,,,,,,,,,,,,,,,,,,,,,
38,mixe1284,Mixe-Zoque,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,siou1252,Siouan,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
