id,id_gl,name,macroareas,iso,language,data_sources,included,1_form,1_source,1_pages,1_comment,1_example,1_example.source,1_example.page,1_morphosyntactic_type,1_morphosyntactic_type_detailed,1_meaning_under_negation,1_meaning_under_negation_comment,1_tam_restrictions,1_tam_restrictions_comment,1_adjacent_meanings,1_adjacent_meanings_detailed,1_diachronic_sources,2_form,2_source,2_pages,2_comment,2_example,2_example.source,2_example.page,2_morphosyntactic_type,2_morphosyntactic_type_detailed,2_meaning_under_negation,2_meaning_under_negation_detailed,2_tam_restrictions,2_expectation_implicature,2_adjacent_meanings,2_diachronic_sources
2,aust1307,Austronesian (> Atayalic),"Africa, Eurasia, Papunesia, South America",tay,Atayal,grammar,yes,na,rau1992; gorbunova2014,159; 42-48,,atayal.png,rau1992,159,particle,particle,not yet,Rau 1992: 159,"progressive, resultative, unmarked",Gorbunova 2014: 47,"""only (so-and-so-much) up to now""",Rau 1992: 159,,,,,,,,,,,,,,,,
2,aust1308,Austronesian (> Malayo-Polynesian),"Africa, Eurasia, Papunesia, South America",cha,Chamorro,grammar,yes,trabiha,chung2020,396; 405-406,no examples without emphatic ha' (and without negation),chamorro.png,chung2020,406,adverb,adverb,not yet,p. 405-406,,,,,,ha',chung2020,513-516,very broad meaning,chamorro2.png,chung2020,344,particle,particle,,,,,"‘even’, ‘only’, ‘just’, ‘really’, ‘alone’",
2,aust1310,Austronesian (> Malayo-Sumbawan),"Africa, Eurasia, Papunesia, South America",ind,Indonesian,grammar,yes,masih,sneddonetal2010,206,,indonesian.png,sneddonetal2010,206,particle/adverb,temporal marker,,,"verbs, non-verbal predicates",,,,,,,,,,,,,,,,,,,
2,aust1309,Austronesian (> Malayo-Polynesian > Greater Central Philippine),"Africa, Eurasia, Papunesia, South America",tgl,Tagalog,grammar,yes,pa,schachterotanes1972,415-419,,tagalog.png,schachterotanes1972,416,particle,class 1 enclitic particle,not yet,p. 419,"imperfective aspect, non-verbal predicates",,"quite a while ago (with temporal expressions), some more, first, also/too (with perfective aspect), just (with recent-perfective aspect), in addition, ~while (""in successive clauses""), ","p. 415-419; quite a while ago ~ already in Turkish, ""Pa extends the psychological distance between the two points of time""",,,,,,,,,,,,,,,,
2,aust1310,Austronesian (> Malayo-Polynesian > Oceanic > New Caledonian),"Africa, Eurasia, Papunesia, South America",nee,Nêlêmwa-Nixumwak,grammar,yes,gaa,bril2016,93-95,see also durative baa (sometimes ambigous with still),nêlêmwa.png,bril2016,93,particle,persistive marker,,,,,,,,gat,bril2016,93-95,"""It marks continuative aspect, but also denotes contradictory expectation or presupposition""",nêlêmwa2.png,bril2016,95,particle2,persistive marker,still not / (+ perfect + seq + neg) no longer,,,,,
2,aust1311,Austronesian (> Malayo-Polynesian > Oceanic > Central Vanuatu),"Africa, Eurasia, Papunesia, South America",bpa,Dakaka,grammar,yes,ngabak,vonprince2012,178-179,,dakaka.png,vonprince2012,179,particle,adverbial particle,not yet,ex. 187 (p. 179),,,first,p. 179,,,,,,,,,,,,,,,,
6,nucl1709,Nuclear Trans New Guinea (> Ok),Papunesia,mpt,Mian,grammar,yes,smā,fedden2011,122,,mian.png,fedden2011,102,adverb,adverb,,,,,,,,,,,,,,,,,,,,,,
6,nucl1710,Nuclear Trans New Guinea (> Dani),Papunesia,dnw,Western Dani,grammar,yes,awo,barclay2008,440-442,p. 428 with temporal expressions; in all examples inside while-clauses,dani.png,barclay2008,441,particle/adverb,particle/adverb,not yet,p. 441,,,"just, recently, wait",,,,,,,,,,,,,,,,,
9,aust1305,Austroasiatic (> Khmeric),"Eurasia, Papunesia",khm,Central Khmer,grammar,yes,nev,haiman2011,262,"""be at, stay""",khmer.png,haiman2011,221,aux,auxiliary,,,,,,,"""be at, stay""",,,,,,,,,,,,,,,
9,aust1306,Austroasiatic (> Aslian),"Eurasia, Papunesia",sza,Semelai,grammar,yes,lagiʔ,kruspe2004,299-300,"borrowing from Malay; means ""still"" in the pre-predicate position; actually is similar to aux",semelai.png,kruspe2004,299,adverb/aux,adverb,still not / not yet,p. 300,"only active verbs (with statives - ""more"", ""increasingly"")",,"more, again, before (+ neg)","""more"" - ex. 23 (p. 431); ""before"" - ex. 267 (p. 390)",,,,,,,,,,,,,,,,
18,nucl1708,Nuclear Torricelli,Papunesia,yev,Yeri,grammar,yes,ko / kua,wilson2017,477-479,"""like all class 2 particles, it can occur once or twice within the same clause""",yeri.png,wilson2017,478,particle,class 2 clause particle,still not / not yet,"p. 477, 479",,,first,,,,,,,,,,,,,,,,,
27,sepi1257,Sepik,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,lowe1437,Lower Sepik-Ramu,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,timo1261,Timor-Alor-Pantar,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,lake1255,Lakes Plain,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,more1255,Yam,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,anim1240,Anim,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,bord1247,Border,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,nort2923,North Halmahera,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,anga1289,Angan,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,nduu1242,Ndu,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,toro1256,Tor-Orya,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,geel1240,Geelvink Bay,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,skoo1245,Sko,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,daga1274,Dagan,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,sout2948,South Bougainville,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,kwer1242,Greater Kwerba,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,koia1260,Koiarian,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,mail1249,Mailuan,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,bosa1245,Bosavi,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,bain1263,Baining,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,east2433,East Strickland,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,goil1242,Goilalan,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,kiwa1251,Kiwaian,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,left1242,Left May,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,sout1516,South Bird's Head Family,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,nucl1580,Eleman,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,kera1258,Keram,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,nimb1257,Nimboranic,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,pauw1244,Pauwasi,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,west1493,West Bird's Head,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,yare1250,Yareban,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,yuat1252,Yuat,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,araf1243,Arafundi,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,east2503,Eastern Trans-Fly,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,nort2933,North Bougainville,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,sent1261,Sentanic,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,suki1244,Suki-Gogodala,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,tura1263,Turama-Kikori,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,wali1264,Walioic,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,east1459,East Bird's Head,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,kamu1264,Kamula-Elevala,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,kaya1327,Kayagaric,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,kolo1268,Kolopom,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,kwal1257,Kwalean,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,lepk1239,Lepki-Murkim-Kembra,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,mair1253,Mairasic,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,west2604,West Bomberai,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,amto1249,Amto-Musan,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,baib1250,Baibai-Fas,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,bayo1259,Bayono-Awbono,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,monu1249,Bogia,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,bula1259,Bulaka River,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,doso1238,Doso-Turumsa,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,east2499,East Kutubu,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,hata1242,Hatam-Mansim,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,inan1242,Inanwatan,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,kaur1274,Kaure-Kosare,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,kond1302,Konda-Yahadian,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,kwom1263,Kwomtari-Nai,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,manu1261,Manubaran,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,momb1255,Mombum-Koneraw,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,naml1239,Namla-Tofanma,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,paho1240,Pahoturi,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,piaw1238,Piawi,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,sena1264,Senagi,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,soma1242,Somahai,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,taul1250,Taulil-Butam,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,tebe1251,Teberan,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,yawa1259,Yawa-Saweru,Papunesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
