id_number,family_code​,family,macroarea,iso,language,included,form,source,pages,comment,example,example_source,example_page,morphosynt_type,morphosynt_type_as_in_source,non_emphatic,non_emphatic_comment,other_uses,other_uses_comment,meaning_with_negation,meaning_with_negation_comment,maturation
1,indo1319,Indo-European (> Italic),Eurasia,spa,Spanish,yes,todavía,butt2019,446,,spanish1-1.png,butt2019,446,adverb/particle,adverb,no,"p. 421 ""still single""","even, more",in comparative constructions,not yet (still not),not yet,non-continuative meanings
2,indo1319,Indo-European (> Italic),Eurasia,spa,Spanish,yes2,aún,butt2019,446,,spanish1-2.png,butt2019,446,adverb/particle,adverb,no,,more,"in comparative constructions, ""Aún with an accent must be distinguished from aun ‘even’, although its meaning sometimes overlaps with aun""",not yet (still not),not yet,
3,indo1319,Indo-European (> Italic),Eurasia,spa,Spanish,yes2,seguir,butt2019,457,"In parts of Latin America siempre ‘always’ can, like the French toujours, mean ‘still’. ""Seguir is more often used before adjectives and participles, i.e. one says sigue enfermo ‘he’s still ill/sick’ rather than continúa enfermo"". The construction seguir + Vndo is disfavored with stative verbs",spanish2.png,butt2019,457,auxiliary,auxiliary,no,"p. 457 ""still unmarried""",,,,,auxiliary / affix
4,indo1319,Indo-European (> Italic),Eurasia,spa,Spanish,yes2,continuar,butt2019,457,,spanish3.png,butt2019,457,auxiliary,auxiliary,no,,,,,,auxiliary / affix
5,indo1319,Indo-European (> Eastern Baltic),Eurasia,lit,Lithuanian,yes,tebe-,arkadiev2011,54-60,"te(?)-be(cnt) is a reinforced continutative, with negation is just neg-cnt-; prohibited with non-homogeneous predicates",lithuanian1.png,arkadiev2011,61,affix,prefix,no,Peter Arkadiev p.c.,,"be- prefix (without te-) has a progressive meaning (with non-finite forms), avertive meaning (with a past auxiliary 'be')",no longer,"no longer, ne-be- (without an intenisifier), cf. a synonymous particle nebe. ne-be- also has discourse functions of counter-expectation.","auxiliary / affix, no longer"
6,indo1319,Indo-European (> Eastern Baltic),Eurasia,lit,Lithuanian,yes2,(vis) dar,ambrazas2006,378,vis 'constantly' is often added as an intensifier,lithuanian2.png,lithuaniancorpus,no page,adverb/particle,adverb,no,Peter Arkadiev p.c.,more,more,not yet,not yet (Ostrowski 2016: 176),no mature features
7,indo1319,Indo-European (> Indo-Iranian),Eurasia,hin,Hindi,yes,əbhī,kachru2006,162,"no special description, first meaning is now; diachronically now.emph",hindi.png,kachru2006,162,adverb/particle,adverb/particle,no,"p. 162 ""still unripe""","now, for now",,,"not yet (???), ex. 52, p. 272",non-continuative meanings
8,sino1245,Sino-Tibetan,Eurasia,cmn,Mandarin Chinese,yes,hái,maross2017,88-89,"see also the verb 继续 jixu ""continue"" (aux or lexical - not clear)",mandarin.png,maross2017,88,adverb/particle,adverb,no,,"also, more",Sonya Durneva p.c.,not yet (still not),not yet,no mature features
9,sino1245,Sino-Tibetan,Eurasia,cmn,Mandarin Chinese,yes2,xiàqù,maross2017,120,"""In addition to its literal meaning ‘go down,’ 下去 xiàqù is also used to contribute the meaning ‘continue to (do the verb).’""",mandarin2.png,maross2017,120,affix,directional suffix,no,,again,"resume, continue after a break (Bogaards 2022, ex. 19)",,,auxiliary / affix
10,sino1245,Sino-Tibetan,Eurasia,cmn,Mandarin Chinese,yes2,jìxù,lithompson1989,178,,mandarin3.png,lithompson1989,178,auxiliary,auxiliary,no,not OCRed,,,,,auxiliary / affix
11,taik1256,Tai-Kadai,Eurasia,tha,Thai,yes,pay,iwasaki2005,157-159,diachronic source - 'go',thai.png,iwasaki2005,158,auxiliary,auxiliary,no,,,,,,auxiliary / affix
12,taik1256,Tai-Kadai,Eurasia,tha,Thai,yes2,yang,higbiethinsan2002,105-107,,thai2.png,higbiethinsan2002,105,not_clear,auxiliary (or adverb?),no,not OCRed,,,not yet (still not),not yet,
13,drav1251,Dravidian,Eurasia,tam,Tamil,yes,iṉṉum,lehmann1993,304,"in-n-um (in - ""the present moment"", um - particle, see Yazyki mira (Dravidian, p. 108))",tamil.png,lehmann1993,304,adverb/particle,adverb/particle,no,not OCRed,more,"more, and other(s), see examples from A. Smirnitskaya",not yet (still not),"Example from A. Smirnitskaya: Ivvaḷavu kālam ceṉṟ-ālum, iṉṉum teriya.v-illai 'Хотя и прошло столько времени, [это] еще не известно.'",no mature features
14,ural1272,Uralic,Eurasia,fin,Finnish,yes,vielä,karlsson1999,132,"no special description, borrowing from Baltic",finnish.png,karlsson1999,132,adverb/particle,adverb,no,,,,not yet (still not),not yet - p. 84,no mature features
15,turk1311,Turkic,Eurasia,tur,Turkish,yes,daha,gökselkerslake2005,206,,turkish.png,gökselkerslake2005,206,adverb/particle,adverb,no,"p. 322 ""still a child""","already, more, more than",derives compartive forms of adjectives,not yet (still not),not yet,non-continuative meanings
16,hurr1239,Hurro-Urartian,Eurasia,xhu,Hurrian,no,zugan,campbell2007,159,"no special description; It is unclear how zugan should be translated, but it almost certainly functions as an adverb in this context",hurrian.png,campbell2007,159,adverb/particle,adverb,,,,,,,
17,hmon1336,Hmong-Mien,Eurasia,hnj,Hmong Njua,yes,tseem,dejamorn2006,77,"no special description, sometimes glossed as progr",hmong.png,dejamorn2006,77,adverb/particle,adverb/particle,no,"p. 92 ""still alive""",,,,,no mature features
18,nakh1245,Nakh-Daghestanian,Eurasia,lez,Lezgian,yes,-zma/-nma,haspelmath1993,145,"imperfective, perfect (only resultative meaning); diachronic source - stay (see also Maisak's paper on Andi)",lezgian1.png,haspelmath1993,145,affix,affix,no,,,,no longer,not anymore,"auxiliary / affix, no longer"
19,nakh1245,Nakh-Daghestanian,Eurasia,lez,Lezgian,yes2,hele,haspelmath1993,210-211,"borrowing; there are also particles helelig, gilani (gila 'now' plus -ni 'also, even') and mad",lezgian2.png,haspelmath1993,210,adverb/particle,adverb/particle,no,,already,"already - ex. 503, p. 210",not yet (still not),"not yet - ex. 504, p. 210",non-continuative meanings
20,abkh1242,Abkhaz-Adyge,Eurasia,abq,Abaza,yes2,wẑəg’əj,tabulova1976,256,etymology - and now; often combined with -rḳʷ(a); see also (Panova 2021),abaza2.png,tabulova1976,256,adverb/particle,adverb,no,"p. 256 ""still young"" (with -rḳʷ(a))","again, more",,not yet (still not),not yet,
21,abkh1242,Abkhaz-Adyge,Eurasia,abq,Abaza,yes,-rḳʷ(a),tabulova1976,206-207,"often combined with wẑəg’əj 'and now'; forbidden in Aorist and Retroaorist; according to Genko (1955: 140), originates from 'be'; see also (Panova 2021)",abaza.png,klyaginapanova2019,10,affix,affix,no,"p. 256 ""still young"" (with wẑəg’əj)",,,ungrammatical / marginal,,"auxiliary / affix, no longer"
22,mong1349,Mongolic-Khitan,Eurasia,khk,Halh Mongolian,yes,-sааr bаj-,kullmann1996,137-138,simultaneous converb + copula; the particle l somehow contributes the meaning of still; see also одоо болтол /одоо хүртэл 'until now',mongolian.png,kullmann1996,138,auxiliary,auxiliary,no,,have been doing,something like English Perfect Progressive,,,"auxiliary / affix, non-continuative meanings"
23,japo1237,Japonic,Eurasia,jpn,Japanese,yes,mada,kaiseretal2013,10,no special decription,japanese.png,kaiseretal2013,10,adverb/particle,adverb/particle,no,"p. 296 ""still young""",,,,,no mature features
24,tung1282,Tungusic,Eurasia,evn,Evenki,yes,hata,nedjalkov1997,132-133,,evenki.png,nedjalkov1997,133,adverb/particle,part,no,"p. 133 ""still alive""",,,,,no mature features
25,chuk1271,Chukotko-Kamchatkan,Eurasia,ckt,Chukchi,yes,panena,dunn1999,372,,chukchi.png,dunn1999,372,adverb/particle,adverb/particle,no,,,,,,no mature features
26,kart1248,Kartvelian,Eurasia,kat,Georgian,yes,jer k'idev,rayfield2006,1671,"main meaning of k'idev is again, not yet is derived as jer + neg",georgian.png,rayfield2006,1671,adverb/particle,adverb/particle,no,,,,not yet (still not),not yet,no mature features
27,kart1248,Kartvelian,Eurasia,kat,Georgian,no,k'idev,rayfield2006,802,main meaning is again,georgian2.png,rayfield2006,802,adverb/particle,adverb/particle,,,,,,,
28,yeni1252,Yeniseian,Eurasia,ket,Ket,no,hɨ,georg2007,147,no special description,ket.png,georg2007,147,adverb/particle,adverb,,,,,not yet (still not),not yet,
29,yuka1259,Yukaghir,Eurasia,yux,Southern Yukaghir,yes,aji:,maslova2003,665-670,"the meanings ""still"" and ""more"" can be distinguished by the linear position of the particle",yukaghir.png,maslova2003,369,adverb/particle,connective particle,no,"p. 373, p. 534 ""still alive""","too, again, more","too, again, more; maybe also 'while', see p. 490",not yet (still not),not yet,no mature features
30,ainu1252,Ainu,Eurasia,ain,Hokkaido Ainu,no,naa,akulov2005,"119, 139",,ainu.png,akulov2005,119,adverb/particle,adverb/particle,no,,"already, more",,,,non-continuative meanings
31,gily1242,Nivkh,Eurasia,niv,Amur Nivkh,no,napa,nedjalkovotaina2013,157,"no special description, see ex. 937 for not yet",nivkh.png,nedjalkovotaina2013,157,adverb/particle,adverb,,,,,not yet (still not),"not yet, see ex. 937 (p. 338)",
32,grea1241,Great Andamanese,Eurasia,akj,Akajeru,no,itthaxe,abbi2013,198,no special description,andamanese.png,abbi2013,198,adverb/particle,adverb,,,,,,,
33,kore1284,Koreanic,Eurasia,kor,Korean,yes,acik,sohn1994,396,"see ex. 289, 166 for not yet",korean1.png,sohn1994,103,adverb/particle,adverb,no,,,,not yet (still not),not yet,no mature features
34,kore1284,Koreanic,Eurasia,kor,Korean,yes2,-keli / -tay,sohn1994,332,"these suffixes occur mostly with onomatopoetic roots, see also comments by Jae-Hyun Sung",korean2.png,sohn1994,332,affix,affix,no,,,,,,auxiliary / affix
35,aust1305,Austroasiatic (> Khmeric),Eurasia,khm,Central Khmer,yes,nev,haiman2011,262,"""be at, stay""",khmer.png,haiman2011,221,auxiliary,auxiliary,no,,,,,,auxiliary / affix
36,aust1307,Austronesian (> Atayalic),Eurasia,tay,Atayal,yes,na,rau1992; gorbunova2014,159; 42-48,"predicate restrictions - progressive, resultative, unmarked (Gorbunova 2014: 47)",atayal.png,rau1992,159,adverb/particle,particle,yes,"p. 159 ""still a child"", p. 162 ""still alive"", p. 171 ""still young""",up to now,"(""only (so-and-so-much) up to now"") Rau 1992: 159",not yet (still not),"not yet, Rau 1992: 159","non-continuative meanings, non-emphatic"
37,atla1278,Atlantic-Congo (> North-Central Atlantic),Africa,bjt,Balanta-Ganja,yes,tígtà,creisselsbiaye2016,201,"""seulement avec le préfixe N- de l’inaccompli""",balanta-ganja.png,creisselsbiaye2016,201,auxiliary,auxiliaire,no,,,,,,auxiliary / affix
38,atla1278,Atlantic-Congo (> Volta-Congo > North Volta-Congo) ,Africa,sag,Sango,yes,ngba,samarin1970,89,"""rester""; check other Songo grammars",sango.png,samarin1970,105,auxiliary,forment une locution verbale complémentaire,no,"p. 115 (nassensteinpasch2021) ""still unmarried""",stay,as a lexical verb 'rester',,,"auxiliary / affix, non-continuative meanings"
39,atla1278,Atlantic-Congo (> Volta-Congo > North Volta-Congo) ,Africa,sag,Sango,yes2,de,nassensteinpasch2021,113-118,"""the copula verb de in its meaning ‘continue to have some quality until quality changes’."" possible only with ""a nominal predicate, a prepositional phrase giving an attribute or a location"" ",sango2.png,nassensteinpasch2021,114,auxiliary,copula,no,"p. 114 ""still alive""",,,,,auxiliary / affix
40,atla1278,Atlantic-Congo (> Volta-Congo > Kwa),Africa,ewe,Ewe,yes,gà-,rongier2004,75,"the first meaning is again. Check periphrastic constructions in Ameka 2008 (Aspect and modality in Ewe: A survey). Check haɖe (from Bible). See also discussion by Kramer (2021:8-9): still-meaning only with ko 'only', not a specialized expression",ewe.png,rongier2004,75,affix,verbal prefix,no,,again,"re-, encore",no longer,"ne plus, p. 85, can't find examples","auxiliary / affix, no longer"
